,size,simple_mean,simple_var,log_mean,log_var
0,2,0.02919839112163151,0.009268581853674417,0.028437157649907435,0.008467485520869148
1,3,0.020484059481161564,0.008398943914749556,0.01993993741866877,0.007188339154685043
2,4,0.029457763532661763,0.006878384752301428,0.028762098529324126,0.006078814168415349
3,5,0.0369489201974034,0.008696821588630629,0.03609432334988069,0.007826472005368623
4,6,0.03690845986771444,0.008894251329632289,0.03580410228067556,0.007628538036856113
5,7,0.039212333736056294,0.007454833215790597,0.038328999203684926,0.006876528052947606
6,8,0.0364763152980019,0.009455268268294539,0.035578410904940266,0.008248196637444992
7,9,0.037064748610138365,0.00623335466380737,0.03617727590342969,0.0056305977279489956
8,10,0.0340170448338971,0.007854426433197996,0.03324429012949163,0.006842995598031333
9,11,0.04430897348644756,0.008102403738804087,0.0431022283790735,0.006982398545218507
10,12,0.03957673090275129,0.0070950004738472945,0.03871675344765926,0.0064509222293389745
11,13,0.036134495717159744,0.00635662697930066,0.035402775636199535,0.005831746170179109
12,14,0.043573992165168954,0.006218111716773349,0.04253869880526935,0.005532843870152454
13,15,0.04142895049680885,0.007217813587259819,0.040476615844212034,0.0064289254415612436
14,16,0.041003960902412706,0.006883392123985098,0.040049032241093824,0.00609346812337519
15,17,0.04510089493048828,0.007312907513990939,0.04404701654961179,0.006510801868070236
16,18,0.04331899899827507,0.006074821567485745,0.0422990547407142,0.005445115917707606
17,19,0.04286939610373084,0.006600310284562545,0.04191854377561607,0.005966313442598713
18,20,0.04183940176096764,0.006528637793437817,0.04094019030814754,0.005880091721828762
19,21,0.04359442026187441,0.00703749034163891,0.04256249685912319,0.006272072086711012
20,22,0.04115970095670189,0.006317371452332176,0.04023605820831898,0.0056222726535855505
21,23,0.04810116151163403,0.006397997015305591,0.04694735366781605,0.005691331886215975
22,24,0.04544746063051689,0.006286309675126928,0.04440485694858,0.0056084744694351995
23,25,0.04357216792787374,0.0057287597065921545,0.042596181462009435,0.005174232788421834
24,26,0.04533786035808367,0.006151221206985099,0.04428250963787071,0.005449500770748252
25,27,0.04080134927725489,0.0062166421641683045,0.039950865429841255,0.005557619944974027
26,28,0.04420192424187015,0.005887645397075878,0.04320651727576067,0.005298868457576097
27,29,0.04352984970653845,0.005348851708798822,0.042599110154492505,0.0048248243814541375
28,30,0.044177164420365025,0.005242397402875082,0.04321033499762854,0.004729852553592345
29,31,0.042041133429801224,0.0059079872276586575,0.04116564728576934,0.005296307705853748
30,32,0.041185731825307305,0.005038881208105822,0.04031692145910021,0.004586109105234999
31,33,0.039696001293417126,0.005601587056245429,0.0389082415786947,0.005094160995611306
32,34,0.0443710722945168,0.0058169272674179345,0.04338077461454738,0.0052589575899325254
33,35,0.04500005290127509,0.005623646796367141,0.04398670134148615,0.00502242420151072
34,36,0.04092659001436757,0.005375372564923143,0.040072898835202805,0.004853018925445317
35,37,0.0443166428582966,0.005858442710763101,0.043344841286900755,0.005259292686095842
36,38,0.042462675580955525,0.005327408481599668,0.04156396660987498,0.004822008579789694
37,39,0.04557738691106531,0.0057792551122229,0.04454872374871874,0.0051602866435060835
38,40,0.04487606679432334,0.005587856650593087,0.04387680851533663,0.00499515624851986
39,41,0.04130933602591249,0.0053575209192510045,0.04045925190498786,0.004872376787609365
40,42,0.04460677400853445,0.005691215854609803,0.043623379321959976,0.005109430222596412
41,43,0.04271040447224217,0.004860279791943308,0.04181161933717803,0.004427157753639695
42,44,0.04339043016794427,0.005207204016842895,0.04245851921916012,0.004708018482472366
43,45,0.042924242913294865,0.005637856468235409,0.04200659648770817,0.005094471219775379
44,46,0.04504635962813858,0.005320132706042018,0.044050563517705234,0.004782115175437879
45,47,0.04404627790810652,0.005145023572732503,0.043084258098761534,0.004623672455897463
46,48,0.04424161674846962,0.005476524523822663,0.04327780707449961,0.004901770985252218
47,49,0.042012747272172614,0.004929214657482008,0.04113884199474257,0.004449985774323343
48,50,0.043187529177560344,0.004961481907522813,0.042267644083470106,0.0044853227987281235
49,51,0.04405080426202347,0.004772309492421174,0.043102664960298145,0.004287272716647162
50,52,0.043835860338996294,0.004886196563593368,0.042884672113386556,0.004398215577566115
51,53,0.044776084471171894,0.005064574867048614,0.04379286087437104,0.004550808264323787
52,54,0.04330208278536154,0.004946429239970412,0.0423644668441008,0.004474967220436446
53,55,0.0443953080080202,0.005081686584440209,0.04342458943233699,0.004569351863824376
54,56,0.04425418552802972,0.004856149854216324,0.04329564307538419,0.004383037952719294
55,57,0.04435722033683085,0.005095270316054513,0.04339405416833127,0.004595535581167101
56,58,0.044246173381559395,0.004636342045074477,0.04329175541832397,0.004178206694603727
57,59,0.04300663374388689,0.005000973746938834,0.04209439278857587,0.004516041028471777
58,60,0.04439254820414856,0.005226834843284339,0.04342113018348078,0.004689105502248717
59,61,0.0449003344162099,0.00489118792549466,0.043915750598773604,0.004399568718536963
60,62,0.042096843068893566,0.004912751772169625,0.04122651296039779,0.004433681697549461
61,63,0.04647280588990458,0.0051002806930647345,0.045421446696199276,0.004543356480296408
62,64,0.04476173314679179,0.004834038832431977,0.043784028214149576,0.004348359476083367
63,65,0.044915010954090076,0.004909845314859783,0.04393210735820084,0.004423231546816303
64,66,0.04344348764821634,0.004772824442490208,0.042517231343872905,0.004309082108658253
65,67,0.04447971644022629,0.004888964499743732,0.043512403380207995,0.004377963056435796
66,68,0.043537619936029205,0.004785914621521235,0.04261325349007798,0.004293486282218395
67,69,0.04396432237500213,0.004682037453084543,0.043020377405910706,0.004208424856605609
68,70,0.0443557906749663,0.004721051463881188,0.04339308371327841,0.004249480878500896
69,71,0.04383068220443098,0.004602804949806771,0.04289252466249114,0.0041463960332173075
