,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,601390.SH,20201231,5.27,5.63,5.83,5.2,5.65,-0.3800000000000008,-6.7257,1273427438.0,7005187195.0
1,601390.SH,20201130,5.65,5.38,5.82,5.35,5.37,0.28000000000000025,5.2142,1600193445.0,8952064814.0
2,601390.SH,20201030,5.37,5.45,5.57,5.32,5.39,-0.019999999999999574,-0.3711,616445298.0,3336089618.0
3,601390.SH,20200930,5.39,5.61,5.9,5.34,5.6,-0.20999999999999996,-3.75,1451883173.0,8166717685.0
4,601390.SH,20200831,5.6,5.6,5.82,5.36,5.57,0.02999999999999936,0.5386,1526760965.0,8558678033.0
5,601390.SH,20200731,5.4028,4.8693,5.8586,4.8693,4.8693,0.5335000000000001,10.9564,2378705357.0,13512098756.0
6,601390.SH,20200630,4.8693,5.0924,5.267,4.8402,5.0924,-0.22309999999999963,-4.381,919952791.0,4747325249.0
7,601390.SH,20200529,5.0924,5.6841,5.8102,5.0633,5.6841,-0.5917000000000003,-10.4097,659882439.0,3684686543.0
8,601390.SH,20200430,5.6841,5.2185,5.8102,5.1991,5.2185,0.46560000000000024,8.9221,1237396027.0,7075770139.0
9,601390.SH,20200331,5.2185,5.267,5.8974,4.9857,5.2088,0.009699999999999598,0.1862,2523094457.0,14204192915.0
10,601390.SH,20200228,5.2088,4.8499,5.4125,4.7529,5.3931,-0.18429999999999946,-3.4173,1490876797.0,7882718797.0
11,601390.SH,20200123,5.3931,5.7908,5.9653,5.3543,5.7617,-0.3686000000000007,-6.3974,705386291.0,4167029408.0
12,601390.SH,20191231,5.7617,5.4804,5.7811,5.3737,5.4804,0.2812999999999999,5.1328,687809093.0,3978761249.0
