,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,600050.SH,20201231,4.46,4.89,4.97,4.43,4.9,-0.4400000000000004,-8.9796,1872091954.0,8731391614.0
1,600050.SH,20201130,4.9,4.76,5.03,4.66,4.77,0.13000000000000078,2.7254,1578898604.0,7678407091.0
2,600050.SH,20201030,4.77,4.9,5.1,4.75,4.85,-0.08000000000000007,-1.6495,1279696660.0,6327874934.0
3,600050.SH,20200930,4.85,5.16,5.18,4.83,5.19,-0.34000000000000075,-6.5511,1732927394.0,8743887742.0
4,600050.SH,20200831,5.19,5.09,5.59,5.01,5.08,0.11000000000000032,2.1654,3874396421.0,20405147112.0
5,600050.SH,20200731,5.08,4.84,5.72,4.82,4.84,0.2400000000000002,4.9587,5784998575.0,30535421476.0
6,600050.SH,20200630,4.84,4.97,5.12,4.82,4.96,-0.1200000000000001,-2.4194,1766541308.0,8750988577.0
7,600050.SH,20200529,4.9007,5.0983,5.2564,4.9007,5.1576,-0.2569000000000008,-4.981,1267420938.0,6496963990.0
8,600050.SH,20200430,5.1576,5.1379,5.5331,4.9995,5.1576,0.0,0.0,2224476921.0,11843914564.0
9,600050.SH,20200331,5.1576,5.4639,5.869,4.9897,5.4145,-0.2568999999999999,-4.7447,3554019164.0,19623769492.0
10,600050.SH,20200228,5.4145,5.0292,6.0864,4.9403,5.5825,-0.16799999999999926,-3.0094,4016701952.0,22244912918.0
11,600050.SH,20200123,5.5825,5.8493,6.1654,5.5133,5.8196,-0.23710000000000075,-4.0742,2478120294.0,14862933282.0
12,600050.SH,20191231,5.8196,5.6615,5.8789,5.3454,5.6418,0.1778000000000004,3.1515,1857991064.0,10709215966.0
