,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,603259.SH,20201231,134.72,103.0,136.55,102.8,103.33,31.39,30.3784,315439140.0,37431913958.0
1,603259.SH,20201130,103.33,113.67,121.8,100.13,112.72,-9.39,-8.3304,302172500.0,33672236984.0
2,603259.SH,20201030,112.72,103.0,117.24,100.0,101.5,11.219999999999999,11.0542,194619037.0,21076824003.0
3,603259.SH,20200930,101.5,109.32,112.08,93.91,109.91,-8.409999999999997,-7.6517,317506316.0,31980960132.0
4,603259.SH,20200831,109.91,113.06,118.45,103.0,113.0,-3.0900000000000034,-2.7345,314599851.0,34548491844.0
5,603259.SH,20200731,113.0,97.9,117.19,91.6,96.6,16.400000000000006,16.9772,444693617.0,45823410528.0
6,603259.SH,20200630,96.6,108.0,112.68,78.77,106.5,-9.900000000000006,-9.2958,310081745.0,27576759968.0
7,603259.SH,20200529,75.8638,71.2407,80.1378,70.45,72.4944,3.369399999999999,4.6478,207195140.0,21935621506.0
8,603259.SH,20200430,72.4944,64.445,75.4079,63.405,64.4593,8.0351,12.4654,238144466.0,23756710493.0
9,603259.SH,20200331,64.4593,76.5761,84.9816,60.8335,75.5076,-11.048299999999998,-14.632,361858995.0,35332005474.0
10,603259.SH,20200228,75.5076,61.9661,84.6611,61.9661,68.2346,7.272999999999996,10.6588,260173762.0,27578184688.0
11,603259.SH,20200123,68.2346,65.8839,71.1908,61.2181,65.6204,2.6141999999999967,3.9838,190727058.0,17630663642.0
12,603259.SH,20191231,65.6204,62.365,69.9941,61.1184,62.6784,2.942,4.6938,190281524.0,17586132897.0
