,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,601857.SH,20201231,4.15,4.28,4.33,4.1,4.31,-0.15999999999999925,-3.7123,1657721285.0,6977333343.0
1,601857.SH,20201130,4.31,4.06,4.44,4.04,4.07,0.23999999999999932,5.8968,2426743168.0,10304923388.0
2,601857.SH,20201030,4.07,4.12,4.19,4.04,4.11,-0.040000000000000036,-0.9732,951350733.0,3909966955.0
3,601857.SH,20200930,4.11,4.42,4.43,4.07,4.43,-0.3199999999999994,-7.2235,1445104787.0,6133427465.0
4,601857.SH,20200831,4.3347,4.3542,4.4619,4.3053,4.3542,-0.01949999999999985,-0.4478,1915279589.0,8580317476.0
5,601857.SH,20200731,4.3542,4.0998,4.775,4.09,4.0998,0.2543999999999995,6.2052,4162979251.0,18947200513.0
6,601857.SH,20200630,4.0998,4.1683,4.276,4.09,4.1585,-0.058699999999999974,-1.4116,1279610700.0,5481546113.0
7,601857.SH,20200529,4.0884,4.2712,4.3385,4.0596,4.2712,-0.1828000000000003,-4.2798,1248086612.0,5483024186.0
8,601857.SH,20200430,4.2712,4.4347,4.5598,4.1654,4.4443,-0.1730999999999998,-3.8949,3206598639.0,14660237725.0
9,601857.SH,20200331,4.4443,4.9157,5.0504,4.4251,4.8772,-0.43290000000000006,-8.876,2886606290.0,14326079556.0
10,601857.SH,20200228,4.8772,4.9446,5.1755,4.8676,5.4256,-0.5484,-10.1076,2113363169.0,11052969029.0
11,601857.SH,20200123,5.4256,5.6372,6.0605,5.4063,5.6083,-0.18269999999999964,-3.2577,1637821908.0,9832294591.0
12,601857.SH,20191231,5.6083,5.3582,5.6468,5.3294,5.3775,0.23079999999999945,4.292,1005273498.0,5750983115.0
