,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,600585.SH,20201231,51.62,56.03,56.49,50.02,56.5,-4.880000000000003,-8.6372,494289996.0,26072939675.0
1,600585.SH,20201130,56.5,50.83,58.67,50.61,50.84,5.659999999999997,11.133,687423981.0,38076149991.0
2,600585.SH,20201030,50.84,56.09,56.99,50.7,55.26,-4.419999999999995,-7.9986,405729754.0,21870998281.0
3,600585.SH,20200930,55.26,60.7,60.79,54.7,60.91,-5.649999999999999,-9.276,405247916.0,23690836527.0
4,600585.SH,20200831,60.91,62.56,63.5,58.01,61.42,-0.5100000000000051,-0.8303,533903805.0,32625435423.0
5,600585.SH,20200731,61.42,53.18,63.56,52.91,52.91,8.510000000000005,16.0839,1219152746.0,71914353224.0
6,600585.SH,20200630,52.91,57.43,58.48,52.52,56.8,-3.8900000000000006,-6.8486,577662439.0,32107936800.0
7,600585.SH,20200529,54.7676,57.1781,60.6204,53.8805,57.8145,-3.046900000000001,-5.2701,427103180.0,25255750431.0
8,600585.SH,20200430,57.8145,52.8391,58.6245,51.5567,53.1284,4.686100000000003,8.8203,519420532.0,30142659229.0
9,600585.SH,20200331,53.1284,53.302,59.9069,45.9739,52.897,0.23140000000000072,0.4375,1000886190.0,55493858023.0
10,600585.SH,20200228,52.897,41.6639,54.8447,41.6639,46.2825,6.6145,14.2916,816319970.0,41734005026.0
11,600585.SH,20200123,46.2825,53.3213,55.6836,45.8486,52.8391,-6.556600000000003,-12.4086,464427885.0,24335639751.0
12,600585.SH,20191231,52.8391,44.7686,53.3405,43.8044,44.1612,8.677900000000001,19.6505,456995310.0,22601155420.0
