,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,600309.SH,20201231,91.04,81.77,91.74,79.79,81.2,9.840000000000003,12.1182,360961417.0,30998108055.0
1,600309.SH,20201130,81.2,78.7,93.33,77.77,78.49,2.710000000000008,3.4527,411183277.0,35526806388.0
2,600309.SH,20201030,78.49,71.0,82.95,70.45,69.3,9.189999999999998,13.2612,255574179.0,20085939751.0
3,600309.SH,20200930,69.3,72.62,78.17,68.02,73.29,-3.990000000000009,-5.4441,360317483.0,26309759364.0
4,600309.SH,20200831,73.29,67.49,75.6,63.42,67.59,5.700000000000003,8.4332,399085992.0,27322731651.0
5,600309.SH,20200731,67.59,50.0,69.8,49.8,49.99,17.6,35.207,681831142.0,41078835186.0
6,600309.SH,20200630,49.99,47.32,50.7,47.08,46.48,3.510000000000005,7.5516,289108049.0,14102650564.0
7,600309.SH,20200529,46.48,44.25,48.09,43.67,45.0,1.4799999999999969,3.2889,266394381.0,12295845996.0
8,600309.SH,20200430,43.7289,40.3278,44.1662,39.6476,40.0849,3.6440000000000055,9.0907,310011545.0,13344180928.0
9,600309.SH,20200331,40.0849,45.7502,51.5418,36.538,45.7113,-5.626400000000004,-12.3086,585816512.0,26120882134.0
10,600309.SH,20200228,45.7113,45.4004,50.9977,45.4004,50.4438,-4.732500000000002,-9.3817,452013269.0,22446350524.0
11,600309.SH,20200123,50.4438,54.9041,56.1285,49.4817,54.5834,-4.139599999999994,-7.584,259850261.0,14199491607.0
12,600309.SH,20191231,54.5834,47.2856,55.5746,46.8386,47.0426,7.540799999999997,16.0297,278833470.0,14608914237.0
