,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000568.SZ,20201231,226.16,184.0,228.5,182.0,183.33,42.829999999999984,23.3622,303559656.0,61769137839.75
1,000568.SZ,20201130,183.33,173.89,200.79,172.6,172.5,10.830000000000013,6.2783,242612962.0,45770684450.74
2,000568.SZ,20201030,172.5,144.8,178.97,142.94,143.55,28.94999999999999,20.1672,186944863.0,29782766333.76
3,000568.SZ,20200930,143.55,146.7,156.98,133.33,149.5,-5.949999999999989,-3.9799,251331697.0,36244926625.57
4,000568.SZ,20200831,149.5,118.1,155.88,109.05,117.98,31.519999999999996,26.7164,307987935.0,39026300525.97
5,000568.SZ,20200731,116.5146,90.4425,129.5704,90.3635,89.9882,26.526399999999995,29.4776,504590656.0,57655692369.89
6,000568.SZ,20200630,89.9882,84.8429,96.0915,84.6355,84.2405,5.747700000000009,6.823,312558382.0,28620156334.83
7,000568.SZ,20200529,84.2405,77.92,89.5339,77.209,78.1867,6.053799999999995,7.7427,231044086.0,19665043455.77
8,000568.SZ,20200430,78.1867,72.755,82.5419,71.5995,72.7352,5.451499999999996,7.495,217494470.0,16900707863.43
9,000568.SZ,20200331,72.7352,73.7722,83.6085,64.0741,73.8709,-1.1357,-1.5374,282761611.0,21292506552.61
10,000568.SZ,20200228,73.8709,73.466,82.6604,69.012,81.6234,-7.752499999999998,-9.4979,313091772.0,23806657120.96
11,000568.SZ,20200123,81.6234,84.9318,93.4053,80.5667,85.6034,-3.9799999999999898,-4.6493,194604246.0,17174337880.59
12,000568.SZ,20191231,85.6034,80.6359,86.2749,79.0063,80.7346,4.868799999999993,6.0306,188933948.0,15579393343.35
