,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,601288.SH,20201231,3.14,3.28,3.38,3.12,3.29,-0.1499999999999999,-4.5593,4645757763.0,14917922197.0
1,601288.SH,20201130,3.29,3.16,3.45,3.15,3.15,0.14000000000000012,4.4444,4289052346.0,13914450985.0
2,601288.SH,20201030,3.15,3.18,3.25,3.15,3.17,-0.020000000000000018,-0.6309,3211910269.0,10259893214.0
3,601288.SH,20200930,3.17,3.21,3.22,3.14,3.21,-0.040000000000000036,-1.2461,3172995992.0,10059698015.0
4,601288.SH,20200831,3.21,3.24,3.31,3.21,3.23,-0.020000000000000018,-0.6192,4339087206.0,14081516363.0
5,601288.SH,20200731,3.23,3.38,3.86,3.22,3.38,-0.1499999999999999,-4.4379,8178268995.0,27986251568.0
6,601288.SH,20200630,3.2137,3.2422,3.2802,3.1661,3.2327,-0.019000000000000128,-0.5877,3016541733.0,10187321650.0
7,601288.SH,20200529,3.2327,3.2517,3.2612,3.2042,3.2897,-0.05699999999999994,-1.7327,1963197673.0,6681986579.0
8,601288.SH,20200430,3.2897,3.2042,3.2992,3.1947,3.2042,0.08549999999999969,2.6684,2209137986.0,7537442302.0
9,601288.SH,20200331,3.2042,3.2517,3.3563,3.1186,3.2422,-0.03799999999999981,-1.172,4516180090.0,15372009115.0
10,601288.SH,20200228,3.2422,3.1376,3.3373,3.1091,3.3468,-0.10460000000000003,-3.1254,4023580832.0,13771184345.0
11,601288.SH,20200123,3.3468,3.5274,3.5655,3.3373,3.5084,-0.16159999999999997,-4.6061,2646218142.0,9672971764.0
12,601288.SH,20191231,3.5084,3.4419,3.5655,3.4133,3.4419,0.0665,1.9321,3432225210.0,12555361230.0
