,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,002607.SZ,20201231,35.13,35.58,40.8,32.89,36.08,-0.9499999999999957,-2.633,262099756.0,9679763194.1
1,002607.SZ,20201130,36.08,39.52,43.58,34.91,39.52,-3.440000000000005,-8.7045,210614726.0,8391101924.86
2,002607.SZ,20201030,39.52,34.0,40.66,31.66,32.63,6.890000000000001,21.1155,173489778.0,6401871211.19
3,002607.SZ,20200930,32.63,35.15,37.98,29.8,35.71,-3.0799999999999983,-8.625,208290303.0,6906265734.36
4,002607.SZ,20200831,35.71,32.0,38.98,31.58,31.96,3.75,11.7334,212318018.0,7482892551.76
5,002607.SZ,20200731,31.96,27.81,34.15,26.97,27.75,4.210000000000001,15.1712,364376167.0,11016884482.08
6,002607.SZ,20200630,27.75,29.86,30.45,26.75,29.4,-1.6499999999999986,-5.6122,223673683.0,6334544825.54
7,002607.SZ,20200529,29.4,25.4,30.47,24.72,25.79,3.6099999999999994,13.9977,191417380.0,5262736295.13
8,002607.SZ,20200430,25.5742,22.5794,25.6634,20.3483,22.5794,2.9948000000000015,13.2634,226842712.0,5286594434.64
9,002607.SZ,20200331,22.5794,20.8243,24.2652,20.5268,20.8243,1.7550999999999988,8.4281,336919064.0,7603809004.11
10,002607.SZ,20200228,20.8243,14.9538,21.0722,14.2993,16.6197,4.204599999999999,25.2989,372513360.0,6835271871.59
11,002607.SZ,20200123,16.6197,17.7304,19.1087,16.0644,17.7304,-1.1106999999999978,-6.2644,186456571.0,3388387135.51
12,002607.SZ,20191231,17.7304,17.9485,19.1385,16.6495,18.127,-0.3965999999999994,-2.1879,248897066.0,4495257729.48
